# gpu    pwr  gtemp  mtemp 
# Idx      W      C      C 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
# gpu    pwr  gtemp  mtemp 
# Idx      W      C      C 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
# gpu    pwr  gtemp  mtemp 
# Idx      W      C      C 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
# gpu    pwr  gtemp  mtemp 
# Idx      W      C      C 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
# gpu    pwr  gtemp  mtemp 
# Idx      W      C      C 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
    0      -      -      - 
